COND2,MONTH,STATE,SEX,AGEGRP,NVISITS
Acute sinusitis,1,Alabama,1,00_04,38
Bacterial pneumonia,1,Alabama,1,00_04,6
GI infections,1,Alabama,1,00_04,6
Influenza,1,Alabama,1,00_04,2
Other pharyngitis,1,Alabama,1,00_04,111
Other/None,1,Alabama,1,00_04,4268
Otitis media,1,Alabama,1,00_04,172
SSTIs,1,Alabama,1,00_04,8
Strep pharyngitis,1,Alabama,1,00_04,11
UTIs,1,Alabama,1,00_04,1
Viral pneumonia,1,Alabama,1,00_04,1
Acute sinusitis,2,Alabama,1,00_04,39
Bacterial pneumonia,2,Alabama,1,00_04,3
GI infections,2,Alabama,1,00_04,5
Influenza,2,Alabama,1,00_04,10
Other pharyngitis,2,Alabama,1,00_04,98
Other/None,2,Alabama,1,00_04,4128
Otitis media,2,Alabama,1,00_04,180
SSTIs,2,Alabama,1,00_04,10
Strep pharyngitis,2,Alabama,1,00_04,16
UTIs,2,Alabama,1,00_04,7
Acute sinusitis,3,Alabama,1,00_04,37
Bacterial pneumonia,3,Alabama,1,00_04,9
GI infections,3,Alabama,1,00_04,6
Influenza,3,Alabama,1,00_04,10
Other pharyngitis,3,Alabama,1,00_04,83
Other/None,3,Alabama,1,00_04,3996
Otitis media,3,Alabama,1,00_04,165
SSTIs,3,Alabama,1,00_04,10
Strep pharyngitis,3,Alabama,1,00_04,12
UTIs,3,Alabama,1,00_04,1
Acute sinusitis,4,Alabama,1,00_04,42
Bacterial pneumonia,4,Alabama,1,00_04,3
GI infections,4,Alabama,1,00_04,6
Influenza,4,Alabama,1,00_04,8
Other pharyngitis,4,Alabama,1,00_04,81
Other/None,4,Alabama,1,00_04,3643
Otitis media,4,Alabama,1,00_04,123
SSTIs,4,Alabama,1,00_04,11
Strep pharyngitis,4,Alabama,1,00_04,22
UTIs,4,Alabama,1,00_04,1
Acute sinusitis,5,Alabama,1,00_04,44
Bacterial pneumonia,5,Alabama,1,00_04,3
GI infections,5,Alabama,1,00_04,2
Other pharyngitis,5,Alabama,1,00_04,84
Other/None,5,Alabama,1,00_04,3558
Otitis media,5,Alabama,1,00_04,113
SSTIs,5,Alabama,1,00_04,7
Strep pharyngitis,5,Alabama,1,00_04,24
Viral pneumonia,5,Alabama,1,00_04,1
Acute sinusitis,6,Alabama,1,00_04,22
Bacterial pneumonia,6,Alabama,1,00_04,2
GI infections,6,Alabama,1,00_04,4
Influenza,6,Alabama,1,00_04,1
Other pharyngitis,6,Alabama,1,00_04,62
Other/None,6,Alabama,1,00_04,3338
