COND2,MONTH,STATE,SEX,AGEGRP,NVISITS
Acute sinusitis,1,Alabama,1,00_04,29
Bacterial pneumonia,1,Alabama,1,00_04,2
Influenza,1,Alabama,1,00_04,19
Other pharyngitis,1,Alabama,1,00_04,52
Other/None,1,Alabama,1,00_04,5933
Otitis media,1,Alabama,1,00_04,64
SSTIs,1,Alabama,1,00_04,2
UTIs,1,Alabama,1,00_04,2
Acute sinusitis,2,Alabama,1,00_04,25
Bacterial pneumonia,2,Alabama,1,00_04,11
Influenza,2,Alabama,1,00_04,23
Other pharyngitis,2,Alabama,1,00_04,48
Other/None,2,Alabama,1,00_04,6164
Otitis media,2,Alabama,1,00_04,87
SSTIs,2,Alabama,1,00_04,2
Acute sinusitis,3,Alabama,1,00_04,35
Bacterial pneumonia,3,Alabama,1,00_04,1
Influenza,3,Alabama,1,00_04,5
Other pharyngitis,3,Alabama,1,00_04,54
Other/None,3,Alabama,1,00_04,6202
Otitis media,3,Alabama,1,00_04,125
SSTIs,3,Alabama,1,00_04,2
UTIs,3,Alabama,1,00_04,1
Acute sinusitis,4,Alabama,1,00_04,17
Bacterial pneumonia,4,Alabama,1,00_04,5
Influenza,4,Alabama,1,00_04,2
Other pharyngitis,4,Alabama,1,00_04,43
Other/None,4,Alabama,1,00_04,5404
Otitis media,4,Alabama,1,00_04,90
SSTIs,4,Alabama,1,00_04,6
Acute sinusitis,5,Alabama,1,00_04,23
Bacterial pneumonia,5,Alabama,1,00_04,1
Other pharyngitis,5,Alabama,1,00_04,40
Other/None,5,Alabama,1,00_04,5378
Otitis media,5,Alabama,1,00_04,71
SSTIs,5,Alabama,1,00_04,9
UTIs,5,Alabama,1,00_04,2
Acute sinusitis,6,Alabama,1,00_04,22
Other pharyngitis,6,Alabama,1,00_04,36
Other/None,6,Alabama,1,00_04,4673
Otitis media,6,Alabama,1,00_04,41
Acute sinusitis,7,Alabama,1,00_04,17
Bacterial pneumonia,7,Alabama,1,00_04,1
Other pharyngitis,7,Alabama,1,00_04,23
Other/None,7,Alabama,1,00_04,4222
Otitis media,7,Alabama,1,00_04,31
SSTIs,7,Alabama,1,00_04,4
Acute sinusitis,8,Alabama,1,00_04,15
Bacterial pneumonia,8,Alabama,1,00_04,1
Other pharyngitis,8,Alabama,1,00_04,19
Other/None,8,Alabama,1,00_04,5021
Otitis media,8,Alabama,1,00_04,38
SSTIs,8,Alabama,1,00_04,5
Acute sinusitis,9,Alabama,1,00_04,23
Bacterial pneumonia,9,Alabama,1,00_04,3
Other pharyngitis,9,Alabama,1,00_04,32
Other/None,9,Alabama,1,00_04,5135
Otitis media,9,Alabama,1,00_04,51
SSTIs,9,Alabama,1,00_04,4
Acute sinusitis,10,Alabama,1,00_04,33
Bacterial pneumonia,10,Alabama,1,00_04,4
Other pharyngitis,10,Alabama,1,00_04,44
Other/None,10,Alabama,1,00_04,5883
Otitis media,10,Alabama,1,00_04,46
SSTIs,10,Alabama,1,00_04,1
Acute sinusitis,11,Alabama,1,00_04,24
Bacterial pneumonia,11,Alabama,1,00_04,3
Other pharyngitis,11,Alabama,1,00_04,47
Other/None,11,Alabama,1,00_04,5242
Otitis media,11,Alabama,1,00_04,61
SSTIs,11,Alabama,1,00_04,3
Acute sinusitis,12,Alabama,1,00_04,28
Bacterial pneumonia,12,Alabama,1,00_04,3
Other pharyngitis,12,Alabama,1,00_04,40
Other/None,12,Alabama,1,00_04,4903
Otitis media,12,Alabama,1,00_04,80
SSTIs,12,Alabama,1,00_04,4
Viral pneumonia,12,Alabama,1,00_04,1
Acute sinusitis,1,Alabama,2,00_04,28
Bacterial pneumonia,1,Alabama,2,00_04,3
Influenza,1,Alabama,2,00_04,9
Other pharyngitis,1,Alabama,2,00_04,49
Other/None,1,Alabama,2,00_04,5411
Otitis media,1,Alabama,2,00_04,61
SSTIs,1,Alabama,2,00_04,3
Acute sinusitis,2,Alabama,2,00_04,19
Bacterial pneumonia,2,Alabama,2,00_04,4
Influenza,2,Alabama,2,00_04,17
Other pharyngitis,2,Alabama,2,00_04,40
Other/None,2,Alabama,2,00_04,5695
Otitis media,2,Alabama,2,00_04,76
SSTIs,2,Alabama,2,00_04,4
UTIs,2,Alabama,2,00_04,2
Acute sinusitis,3,Alabama,2,00_04,27
Bacterial pneumonia,3,Alabama,2,00_04,4
