COND1,MONTH,STATE,SEX,AGEGRP,NVISITS
Acute sinusitis,1,Alabama,1,00_04,153
Bacterial pneumonia,1,Alabama,1,00_04,44
Influenza,1,Alabama,1,00_04,203
Other pharyngitis,1,Alabama,1,00_04,236
Other/None,1,Alabama,1,00_04,4824
Otitis media,1,Alabama,1,00_04,594
SSTIs,1,Alabama,1,00_04,39
UTIs,1,Alabama,1,00_04,5
Viral pneumonia,1,Alabama,1,00_04,5
Acute sinusitis,2,Alabama,1,00_04,173
Bacterial pneumonia,2,Alabama,1,00_04,45
Influenza,2,Alabama,1,00_04,173
Other pharyngitis,2,Alabama,1,00_04,270
Other/None,2,Alabama,1,00_04,4913
Otitis media,2,Alabama,1,00_04,751
SSTIs,2,Alabama,1,00_04,30
UTIs,2,Alabama,1,00_04,2
Viral pneumonia,2,Alabama,1,00_04,3
Acute sinusitis,3,Alabama,1,00_04,156
Bacterial pneumonia,3,Alabama,1,00_04,63
Influenza,3,Alabama,1,00_04,59
Other pharyngitis,3,Alabama,1,00_04,222
Other/None,3,Alabama,1,00_04,5104
Otitis media,3,Alabama,1,00_04,775
SSTIs,3,Alabama,1,00_04,40
UTIs,3,Alabama,1,00_04,5
Viral pneumonia,3,Alabama,1,00_04,1
Acute sinusitis,4,Alabama,1,00_04,128
Bacterial pneumonia,4,Alabama,1,00_04,39
Influenza,4,Alabama,1,00_04,7
Other pharyngitis,4,Alabama,1,00_04,253
Other/None,4,Alabama,1,00_04,4477
Otitis media,4,Alabama,1,00_04,624
SSTIs,4,Alabama,1,00_04,37
UTIs,4,Alabama,1,00_04,2
Acute sinusitis,5,Alabama,1,00_04,131
Bacterial pneumonia,5,Alabama,1,00_04,46
Influenza,5,Alabama,1,00_04,2
Other pharyngitis,5,Alabama,1,00_04,266
Other/None,5,Alabama,1,00_04,4440
Otitis media,5,Alabama,1,00_04,574
SSTIs,5,Alabama,1,00_04,58
UTIs,5,Alabama,1,00_04,6
Viral pneumonia,5,Alabama,1,00_04,1
Acute sinusitis,6,Alabama,1,00_04,72
Bacterial pneumonia,6,Alabama,1,00_04,17
Influenza,6,Alabama,1,00_04,1
Other pharyngitis,6,Alabama,1,00_04,197
Other/None,6,Alabama,1,00_04,4061
Otitis media,6,Alabama,1,00_04,362
SSTIs,6,Alabama,1,00_04,58
UTIs,6,Alabama,1,00_04,4
Acute sinusitis,7,Alabama,1,00_04,55
Bacterial pneumonia,7,Alabama,1,00_04,14
Influenza,7,Alabama,1,00_04,1
Other pharyngitis,7,Alabama,1,00_04,186
Other/None,7,Alabama,1,00_04,3677
Otitis media,7,Alabama,1,00_04,293
SSTIs,7,Alabama,1,00_04,70
UTIs,7,Alabama,1,00_04,2
Acute sinusitis,8,Alabama,1,00_04,104
Bacterial pneumonia,8,Alabama,1,00_04,16
Influenza,8,Alabama,1,00_04,1
Other pharyngitis,8,Alabama,1,00_04,208
Other/None,8,Alabama,1,00_04,4375
Otitis media,8,Alabama,1,00_04,303
SSTIs,8,Alabama,1,00_04,91
UTIs,8,Alabama,1,00_04,1
Acute sinusitis,9,Alabama,1,00_04,158
Bacterial pneumonia,9,Alabama,1,00_04,30
Influenza,9,Alabama,1,00_04,2
Other pharyngitis,9,Alabama,1,00_04,260
Other/None,9,Alabama,1,00_04,4422
Otitis media,9,Alabama,1,00_04,303
SSTIs,9,Alabama,1,00_04,69
UTIs,9,Alabama,1,00_04,4
Acute sinusitis,10,Alabama,1,00_04,171
Bacterial pneumonia,10,Alabama,1,00_04,41
Influenza,10,Alabama,1,00_04,5
Other pharyngitis,10,Alabama,1,00_04,301
Other/None,10,Alabama,1,00_04,5042
Otitis media,10,Alabama,1,00_04,381
SSTIs,10,Alabama,1,00_04,66
UTIs,10,Alabama,1,00_04,3
Viral pneumonia,10,Alabama,1,00_04,1
Acute sinusitis,11,Alabama,1,00_04,183
Bacterial pneumonia,11,Alabama,1,00_04,38
Influenza,11,Alabama,1,00_04,5
Other pharyngitis,11,Alabama,1,00_04,245
Other/None,11,Alabama,1,00_04,4404
Otitis media,11,Alabama,1,00_04,449
SSTIs,11,Alabama,1,00_04,48
UTIs,11,Alabama,1,00_04,7
Viral pneumonia,11,Alabama,1,00_04,1
Acute sinusitis,12,Alabama,1,00_04,230
Bacterial pneumonia,12,Alabama,1,00_04,51
Influenza,12,Alabama,1,00_04,18
Other pharyngitis,12,Alabama,1,00_04,250
