COND1,MONTH,STATE,SEX,AGEGRP,NVISITS
Acute sinusitis,1,Alabama,1,00_04,92
Bacterial pneumonia,1,Alabama,1,00_04,35
GI infections,1,Alabama,1,00_04,15
Influenza,1,Alabama,1,00_04,9
Other pharyngitis,1,Alabama,1,00_04,150
Other/None,1,Alabama,1,00_04,3819
Otitis media,1,Alabama,1,00_04,421
SSTIs,1,Alabama,1,00_04,19
Strep pharyngitis,1,Alabama,1,00_04,59
UTIs,1,Alabama,1,00_04,3
Viral pneumonia,1,Alabama,1,00_04,2
Acute sinusitis,2,Alabama,1,00_04,122
Bacterial pneumonia,2,Alabama,1,00_04,29
GI infections,2,Alabama,1,00_04,28
Influenza,2,Alabama,1,00_04,40
Other pharyngitis,2,Alabama,1,00_04,128
Other/None,2,Alabama,1,00_04,3573
Otitis media,2,Alabama,1,00_04,482
SSTIs,2,Alabama,1,00_04,18
Strep pharyngitis,2,Alabama,1,00_04,73
UTIs,2,Alabama,1,00_04,2
Viral pneumonia,2,Alabama,1,00_04,1
Acute sinusitis,3,Alabama,1,00_04,113
Bacterial pneumonia,3,Alabama,1,00_04,23
GI infections,3,Alabama,1,00_04,15
Influenza,3,Alabama,1,00_04,63
Other pharyngitis,3,Alabama,1,00_04,151
Other/None,3,Alabama,1,00_04,3445
Otitis media,3,Alabama,1,00_04,417
SSTIs,3,Alabama,1,00_04,26
Strep pharyngitis,3,Alabama,1,00_04,71
UTIs,3,Alabama,1,00_04,4
Viral pneumonia,3,Alabama,1,00_04,1
Acute sinusitis,4,Alabama,1,00_04,77
Bacterial pneumonia,4,Alabama,1,00_04,28
GI infections,4,Alabama,1,00_04,11
Influenza,4,Alabama,1,00_04,20
Other pharyngitis,4,Alabama,1,00_04,140
Other/None,4,Alabama,1,00_04,3214
Otitis media,4,Alabama,1,00_04,337
SSTIs,4,Alabama,1,00_04,31
Strep pharyngitis,4,Alabama,1,00_04,76
UTIs,4,Alabama,1,00_04,6
Acute sinusitis,5,Alabama,1,00_04,77
Bacterial pneumonia,5,Alabama,1,00_04,16
GI infections,5,Alabama,1,00_04,19
Influenza,5,Alabama,1,00_04,8
Other pharyngitis,5,Alabama,1,00_04,152
Other/None,5,Alabama,1,00_04,3139
Otitis media,5,Alabama,1,00_04,319
SSTIs,5,Alabama,1,00_04,29
