COND2,MONTH,STATE,SEX,AGEGRP,NVISITS
Acute sinusitis,1,Alabama,1,00_04,24
Influenza,1,Alabama,1,00_04,11
Other pharyngitis,1,Alabama,1,00_04,41
Other/None,1,Alabama,1,00_04,4781
Otitis media,1,Alabama,1,00_04,91
SSTIs,1,Alabama,1,00_04,2
Acute sinusitis,2,Alabama,1,00_04,31
Bacterial pneumonia,2,Alabama,1,00_04,1
Other pharyngitis,2,Alabama,1,00_04,36
Other/None,2,Alabama,1,00_04,4184
Otitis media,2,Alabama,1,00_04,82
SSTIs,2,Alabama,1,00_04,3
UTIs,2,Alabama,1,00_04,1
Acute sinusitis,3,Alabama,1,00_04,30
Bacterial pneumonia,3,Alabama,1,00_04,2
Other pharyngitis,3,Alabama,1,00_04,53
Other/None,3,Alabama,1,00_04,4543
Otitis media,3,Alabama,1,00_04,93
SSTIs,3,Alabama,1,00_04,4
Acute sinusitis,4,Alabama,1,00_04,35
Bacterial pneumonia,4,Alabama,1,00_04,2
Other pharyngitis,4,Alabama,1,00_04,50
Other/None,4,Alabama,1,00_04,4360
Otitis media,4,Alabama,1,00_04,107
SSTIs,4,Alabama,1,00_04,3
UTIs,4,Alabama,1,00_04,1
Acute sinusitis,5,Alabama,1,00_04,27
Bacterial pneumonia,5,Alabama,1,00_04,4
Influenza,5,Alabama,1,00_04,1
Other pharyngitis,5,Alabama,1,00_04,50
Other/None,5,Alabama,1,00_04,4202
Otitis media,5,Alabama,1,00_04,92
SSTIs,5,Alabama,1,00_04,8
Acute sinusitis,6,Alabama,1,00_04,17
Bacterial pneumonia,6,Alabama,1,00_04,1
Other pharyngitis,6,Alabama,1,00_04,31
Other/None,6,Alabama,1,00_04,3884
Otitis media,6,Alabama,1,00_04,56
SSTIs,6,Alabama,1,00_04,7
Acute sinusitis,7,Alabama,1,00_04,17
Bacterial pneumonia,7,Alabama,1,00_04,2
Other pharyngitis,7,Alabama,1,00_04,37
Other/None,7,Alabama,1,00_04,3817
Otitis media,7,Alabama,1,00_04,68
SSTIs,7,Alabama,1,00_04,12
Viral pneumonia,7,Alabama,1,00_04,1
Acute sinusitis,8,Alabama,1,00_04,20
Bacterial pneumonia,8,Alabama,1,00_04,1
Influenza,8,Alabama,1,00_04,2
Other pharyngitis,8,Alabama,1,00_04,51
Other/None,8,Alabama,1,00_04,3798
Otitis media,8,Alabama,1,00_04,69
SSTIs,8,Alabama,1,00_04,5
UTIs,8,Alabama,1,00_04,1
Viral pneumonia,8,Alabama,1,00_04,1
