COND1,MONTH,STATE,SEX,AGEGRP,NVISITS
Acute sinusitis,1,Alabama,1,00_04,127
Bacterial pneumonia,1,Alabama,1,00_04,51
Influenza,1,Alabama,1,00_04,9
Other pharyngitis,1,Alabama,1,00_04,245
Other/None,1,Alabama,1,00_04,5287
Otitis media,1,Alabama,1,00_04,657
SSTIs,1,Alabama,1,00_04,55
UTIs,1,Alabama,1,00_04,2
Viral pneumonia,1,Alabama,1,00_04,3
Acute sinusitis,2,Alabama,1,00_04,162
Bacterial pneumonia,2,Alabama,1,00_04,45
Influenza,2,Alabama,1,00_04,33
Other pharyngitis,2,Alabama,1,00_04,243
Other/None,2,Alabama,1,00_04,5017
Otitis media,2,Alabama,1,00_04,815
SSTIs,2,Alabama,1,00_04,42
UTIs,2,Alabama,1,00_04,7
Viral pneumonia,2,Alabama,1,00_04,3
Acute sinusitis,3,Alabama,1,00_04,131
Bacterial pneumonia,3,Alabama,1,00_04,35
Influenza,3,Alabama,1,00_04,64
Other pharyngitis,3,Alabama,1,00_04,203
Other/None,3,Alabama,1,00_04,4735
Otitis media,3,Alabama,1,00_04,685
SSTIs,3,Alabama,1,00_04,38
UTIs,3,Alabama,1,00_04,6
Viral pneumonia,3,Alabama,1,00_04,4
Acute sinusitis,4,Alabama,1,00_04,104
Bacterial pneumonia,4,Alabama,1,00_04,20
Influenza,4,Alabama,1,00_04,22
Other pharyngitis,4,Alabama,1,00_04,233
Other/None,4,Alabama,1,00_04,4635
Otitis media,4,Alabama,1,00_04,497
SSTIs,4,Alabama,1,00_04,58
UTIs,4,Alabama,1,00_04,6
Acute sinusitis,5,Alabama,1,00_04,117
Bacterial pneumonia,5,Alabama,1,00_04,22
Influenza,5,Alabama,1,00_04,11
Other pharyngitis,5,Alabama,1,00_04,246
Other/None,5,Alabama,1,00_04,4623
Otitis media,5,Alabama,1,00_04,493
SSTIs,5,Alabama,1,00_04,65
UTIs,5,Alabama,1,00_04,6
Acute sinusitis,6,Alabama,1,00_04,82
Bacterial pneumonia,6,Alabama,1,00_04,36
Influenza,6,Alabama,1,00_04,5
Other pharyngitis,6,Alabama,1,00_04,189
Other/None,6,Alabama,1,00_04,3937
Otitis media,6,Alabama,1,00_04,385
SSTIs,6,Alabama,1,00_04,61
UTIs,6,Alabama,1,00_04,9
Acute sinusitis,7,Alabama,1,00_04,64
Bacterial pneumonia,7,Alabama,1,00_04,25
Influenza,7,Alabama,1,00_04,1
Other pharyngitis,7,Alabama,1,00_04,153
Other/None,7,Alabama,1,00_04,3922
Otitis media,7,Alabama,1,00_04,288
SSTIs,7,Alabama,1,00_04,61
UTIs,7,Alabama,1,00_04,5
Acute sinusitis,8,Alabama,1,00_04,80
Bacterial pneumonia,8,Alabama,1,00_04,21
Other pharyngitis,8,Alabama,1,00_04,215
Other/None,8,Alabama,1,00_04,4272
Otitis media,8,Alabama,1,00_04,304
SSTIs,8,Alabama,1,00_04,57
UTIs,8,Alabama,1,00_04,9
Viral pneumonia,8,Alabama,1,00_04,3
Acute sinusitis,9,Alabama,1,00_04,128
Bacterial pneumonia,9,Alabama,1,00_04,32
Influenza,9,Alabama,1,00_04,1
Other pharyngitis,9,Alabama,1,00_04,220
Other/None,9,Alabama,1,00_04,4307
Otitis media,9,Alabama,1,00_04,416
SSTIs,9,Alabama,1,00_04,65
UTIs,9,Alabama,1,00_04,1
Viral pneumonia,9,Alabama,1,00_04,2
Acute sinusitis,10,Alabama,1,00_04,174
Bacterial pneumonia,10,Alabama,1,00_04,46
Influenza,10,Alabama,1,00_04,8
Other pharyngitis,10,Alabama,1,00_04,280
Other/None,10,Alabama,1,00_04,5242
Otitis media,10,Alabama,1,00_04,452
SSTIs,10,Alabama,1,00_04,67
Strep pharyngitis,10,Alabama,1,00_04,1
UTIs,10,Alabama,1,00_04,1
Acute sinusitis,11,Alabama,1,00_04,201
Bacterial pneumonia,11,Alabama,1,00_04,63
Influenza,11,Alabama,1,00_04,101
Other pharyngitis,11,Alabama,1,00_04,234
Other/None,11,Alabama,1,00_04,4745
Otitis media,11,Alabama,1,00_04,490
SSTIs,11,Alabama,1,00_04,30
UTIs,11,Alabama,1,00_04,6
Viral pneumonia,11,Alabama,1,00_04,2
Acute sinusitis,12,Alabama,1,00_04,177
Bacterial pneumonia,12,Alabama,1,00_04,60
Influenza,12,Alabama,1,00_04,324
Other pharyngitis,12,Alabama,1,00_04,253
Other/None,12,Alabama,1,00_04,4533
Otitis media,12,Alabama,1,00_04,628
SSTIs,12,Alabama,1,00_04,36
UTIs,12,Alabama,1,00_04,2
Viral pneumonia,12,Alabama,1,00_04,4
Acute sinusitis,1,Alabama,2,00_04,138
Bacterial pneumonia,1,Alabama,2,00_04,43
Influenza,1,Alabama,2,00_04,15
Other pharyngitis,1,Alabama,2,00_04,229
Other/None,1,Alabama,2,00_04,4780
Otitis media,1,Alabama,2,00_04,627
SSTIs,1,Alabama,2,00_04,45
UTIs,1,Alabama,2,00_04,57
Acute sinusitis,2,Alabama,2,00_04,145
Bacterial pneumonia,2,Alabama,2,00_04,58
Influenza,2,Alabama,2,00_04,30
Other pharyngitis,2,Alabama,2,00_04,268
Other/None,2,Alabama,2,00_04,4683
Otitis media,2,Alabama,2,00_04,663
SSTIs,2,Alabama,2,00_04,45
UTIs,2,Alabama,2,00_04,57
Viral pneumonia,2,Alabama,2,00_04,2
Acute sinusitis,3,Alabama,2,00_04,122
Bacterial pneumonia,3,Alabama,2,00_04,35
Influenza,3,Alabama,2,00_04,46
Other pharyngitis,3,Alabama,2,00_04,196
Other/None,3,Alabama,2,00_04,4096
Otitis media,3,Alabama,2,00_04,574
SSTIs,3,Alabama,2,00_04,39
UTIs,3,Alabama,2,00_04,55
Acute sinusitis,4,Alabama,2,00_04,107
Bacterial pneumonia,4,Alabama,2,00_04,30
Influenza,4,Alabama,2,00_04,15
Other pharyngitis,4,Alabama,2,00_04,221
Other/None,4,Alabama,2,00_04,4040
Otitis media,4,Alabama,2,00_04,467
SSTIs,4,Alabama,2,00_04,54
UTIs,4,Alabama,2,00_04,60
Viral pneumonia,4,Alabama,2,00_04,2
Acute sinusitis,5,Alabama,2,00_04,85
Bacterial pneumonia,5,Alabama,2,00_04,33
Influenza,5,Alabama,2,00_04,13
Other pharyngitis,5,Alabama,2,00_04,226
Other/None,5,Alabama,2,00_04,3882
Otitis media,5,Alabama,2,00_04,458
SSTIs,5,Alabama,2,00_04,62
UTIs,5,Alabama,2,00_04,87
Viral pneumonia,5,Alabama,2,00_04,2
Acute sinusitis,6,Alabama,2,00_04,66
Bacterial pneumonia,6,Alabama,2,00_04,27
Influenza,6,Alabama,2,00_04,4
Other pharyngitis,6,Alabama,2,00_04,183
Other/None,6,Alabama,2,00_04,3340
Otitis media,6,Alabama,2,00_04,339
SSTIs,6,Alabama,2,00_04,56
UTIs,6,Alabama,2,00_04,56
Acute sinusitis,7,Alabama,2,00_04,53
Bacterial pneumonia,7,Alabama,2,00_04,28
Influenza,7,Alabama,2,00_04,1
Other pharyngitis,7,Alabama,2,00_04,158
Other/None,7,Alabama,2,00_04,3329
Otitis media,7,Alabama,2,00_04,264
SSTIs,7,Alabama,2,00_04,62
UTIs,7,Alabama,2,00_04,67
Viral pneumonia,7,Alabama,2,00_04,1
Acute sinusitis,8,Alabama,2,00_04,71
Bacterial pneumonia,8,Alabama,2,00_04,23
Influenza,8,Alabama,2,00_04,1
Other pharyngitis,8,Alabama,2,00_04,178
Other/None,8,Alabama,2,00_04,3737
Otitis media,8,Alabama,2,00_04,267
SSTIs,8,Alabama,2,00_04,69
UTIs,8,Alabama,2,00_04,68
Viral pneumonia,8,Alabama,2,00_04,2
Acute sinusitis,9,Alabama,2,00_04,149
Bacterial pneumonia,9,Alabama,2,00_04,33
Influenza,9,Alabama,2,00_04,4
Other pharyngitis,9,Alabama,2,00_04,238
Other/None,9,Alabama,2,00_04,3559
Otitis media,9,Alabama,2,00_04,360
SSTIs,9,Alabama,2,00_04,62
UTIs,9,Alabama,2,00_04,43
Acute sinusitis,10,Alabama,2,00_04,164
Bacterial pneumonia,10,Alabama,2,00_04,37
Influenza,10,Alabama,2,00_04,10
Other pharyngitis,10,Alabama,2,00_04,279
Other/None,10,Alabama,2,00_04,4481
Otitis media,10,Alabama,2,00_04,378
SSTIs,10,Alabama,2,00_04,64
UTIs,10,Alabama,2,00_04,54
Viral pneumonia,10,Alabama,2,00_04,3
Acute sinusitis,11,Alabama,2,00_04,194
Bacterial pneumonia,11,Alabama,2,00_04,58
Influenza,11,Alabama,2,00_04,82
Other pharyngitis,11,Alabama,2,00_04,268
Other/None,11,Alabama,2,00_04,4055
Otitis media,11,Alabama,2,00_04,459
SSTIs,11,Alabama,2,00_04,37
UTIs,11,Alabama,2,00_04,52
Viral pneumonia,11,Alabama,2,00_04,3
Acute sinusitis,12,Alabama,2,00_04,179
Bacterial pneumonia,12,Alabama,2,00_04,72
Influenza,12,Alabama,2,00_04,284
Other pharyngitis,12,Alabama,2,00_04,283
Other/None,12,Alabama,2,00_04,3891
Otitis media,12,Alabama,2,00_04,581
SSTIs,12,Alabama,2,00_04,28
UTIs,12,Alabama,2,00_04,40
Viral pneumonia,12,Alabama,2,00_04,2
Acute sinusitis,1,Alabama,1,05_09,134
Bacterial pneumonia,1,Alabama,1,05_09,29
Influenza,1,Alabama,1,05_09,8
Other pharyngitis,1,Alabama,1,05_09,307
Other/None,1,Alabama,1,05_09,3795
Otitis media,1,Alabama,1,05_09,166
SSTIs,1,Alabama,1,05_09,42
UTIs,1,Alabama,1,05_09,7
Acute sinusitis,2,Alabama,1,05_09,223
Bacterial pneumonia,2,Alabama,1,05_09,30
Influenza,2,Alabama,1,05_09,49
Other pharyngitis,2,Alabama,1,05_09,383
Other/None,2,Alabama,1,05_09,4151
Otitis media,2,Alabama,1,05_09,208
SSTIs,2,Alabama,1,05_09,44
UTIs,2,Alabama,1,05_09,6
Viral pneumonia,2,Alabama,1,05_09,1
Acute sinusitis,3,Alabama,1,05_09,137
Bacterial pneumonia,3,Alabama,1,05_09,49
Influenza,3,Alabama,1,05_09,95
Other pharyngitis,3,Alabama,1,05_09,295
Other/None,3,Alabama,1,05_09,3944
Otitis media,3,Alabama,1,05_09,175
SSTIs,3,Alabama,1,05_09,44
UTIs,3,Alabama,1,05_09,4
Viral pneumonia,3,Alabama,1,05_09,1
Acute sinusitis,4,Alabama,1,05_09,133
Bacterial pneumonia,4,Alabama,1,05_09,32
