COND2,MONTH,STATE,SEX,AGEGRP,NVISITS
Acute sinusitis,1,Alabama,1,00_04,15
Bacterial pneumonia,1,Alabama,1,00_04,5
Influenza,1,Alabama,1,00_04,4
Other pharyngitis,1,Alabama,1,00_04,32
Other/None,1,Alabama,1,00_04,6044
Otitis media,1,Alabama,1,00_04,94
Acute sinusitis,2,Alabama,1,00_04,27
Bacterial pneumonia,2,Alabama,1,00_04,2
Influenza,2,Alabama,1,00_04,1
Other pharyngitis,2,Alabama,1,00_04,39
Other/None,2,Alabama,1,00_04,6290
Otitis media,2,Alabama,1,00_04,84
SSTIs,2,Alabama,1,00_04,5
Acute sinusitis,3,Alabama,1,00_04,26
Bacterial pneumonia,3,Alabama,1,00_04,3
Influenza,3,Alabama,1,00_04,2
Other pharyngitis,3,Alabama,1,00_04,33
Other/None,3,Alabama,1,00_04,6575
Otitis media,3,Alabama,1,00_04,73
SSTIs,3,Alabama,1,00_04,1
Acute sinusitis,4,Alabama,1,00_04,10
Bacterial pneumonia,4,Alabama,1,00_04,2
Influenza,4,Alabama,1,00_04,1
Other pharyngitis,4,Alabama,1,00_04,31
Other/None,4,Alabama,1,00_04,5931
Otitis media,4,Alabama,1,00_04,69
SSTIs,4,Alabama,1,00_04,2
Viral pneumonia,4,Alabama,1,00_04,1
Acute sinusitis,5,Alabama,1,00_04,13
Influenza,5,Alabama,1,00_04,1
Other pharyngitis,5,Alabama,1,00_04,38
Other/None,5,Alabama,1,00_04,5428
Otitis media,5,Alabama,1,00_04,41
SSTIs,5,Alabama,1,00_04,7
Acute sinusitis,6,Alabama,1,00_04,5
Other pharyngitis,6,Alabama,1,00_04,31
Other/None,6,Alabama,1,00_04,5080
Otitis media,6,Alabama,1,00_04,35
SSTIs,6,Alabama,1,00_04,2
Acute sinusitis,7,Alabama,1,00_04,5
Bacterial pneumonia,7,Alabama,1,00_04,2
Other pharyngitis,7,Alabama,1,00_04,24
Other/None,7,Alabama,1,00_04,4600
Otitis media,7,Alabama,1,00_04,31
SSTIs,7,Alabama,1,00_04,8
UTIs,7,Alabama,1,00_04,1
Acute sinusitis,8,Alabama,1,00_04,7
Bacterial pneumonia,8,Alabama,1,00_04,1
Other pharyngitis,8,Alabama,1,00_04,31
Other/None,8,Alabama,1,00_04,5126
Otitis media,8,Alabama,1,00_04,22
SSTIs,8,Alabama,1,00_04,7
Acute sinusitis,9,Alabama,1,00_04,21
Other pharyngitis,9,Alabama,1,00_04,27
Other/None,9,Alabama,1,00_04,5243
Otitis media,9,Alabama,1,00_04,35
SSTIs,9,Alabama,1,00_04,3
Acute sinusitis,10,Alabama,1,00_04,22
Bacterial pneumonia,10,Alabama,1,00_04,3
Other pharyngitis,10,Alabama,1,00_04,39
Other/None,10,Alabama,1,00_04,5647
Otitis media,10,Alabama,1,00_04,36
SSTIs,10,Alabama,1,00_04,4
Acute sinusitis,11,Alabama,1,00_04,44
Influenza,11,Alabama,1,00_04,2
Other pharyngitis,11,Alabama,1,00_04,30
Other/None,11,Alabama,1,00_04,5709
Otitis media,11,Alabama,1,00_04,44
SSTIs,11,Alabama,1,00_04,1
UTIs,11,Alabama,1,00_04,1
Acute sinusitis,12,Alabama,1,00_04,29
Bacterial pneumonia,12,Alabama,1,00_04,4
Influenza,12,Alabama,1,00_04,12
Other pharyngitis,12,Alabama,1,00_04,65
Other/None,12,Alabama,1,00_04,5845
Otitis media,12,Alabama,1,00_04,62
SSTIs,12,Alabama,1,00_04,2
UTIs,12,Alabama,1,00_04,2
Acute sinusitis,1,Alabama,2,00_04,12
Bacterial pneumonia,1,Alabama,2,00_04,3
Influenza,1,Alabama,2,00_04,1
Other pharyngitis,1,Alabama,2,00_04,29
Other/None,1,Alabama,2,00_04,5545
