COND1,MONTH,STATE,SEX,AGEGRP,NVISITS
Acute sinusitis,1,Alabama,1,00_04,82
Bacterial pneumonia,1,Alabama,1,00_04,34
Influenza,1,Alabama,1,00_04,94
Other pharyngitis,1,Alabama,1,00_04,149
Other/None,1,Alabama,1,00_04,3593
Otitis media,1,Alabama,1,00_04,409
SSTIs,1,Alabama,1,00_04,19
UTIs,1,Alabama,1,00_04,4
Viral pneumonia,1,Alabama,1,00_04,2
Acute sinusitis,2,Alabama,1,00_04,97
Bacterial pneumonia,2,Alabama,1,00_04,25
Influenza,2,Alabama,1,00_04,83
Other pharyngitis,2,Alabama,1,00_04,136
Other/None,2,Alabama,1,00_04,3270
Otitis media,2,Alabama,1,00_04,480
SSTIs,2,Alabama,1,00_04,16
UTIs,2,Alabama,1,00_04,5
Acute sinusitis,3,Alabama,1,00_04,65
Bacterial pneumonia,3,Alabama,1,00_04,21
Influenza,3,Alabama,1,00_04,42
Other pharyngitis,3,Alabama,1,00_04,118
Other/None,3,Alabama,1,00_04,3311
Otitis media,3,Alabama,1,00_04,422
SSTIs,3,Alabama,1,00_04,17
UTIs,3,Alabama,1,00_04,2
Viral pneumonia,3,Alabama,1,00_04,3
Acute sinusitis,4,Alabama,1,00_04,79
Bacterial pneumonia,4,Alabama,1,00_04,13
Influenza,4,Alabama,1,00_04,7
Other pharyngitis,4,Alabama,1,00_04,117
Other/None,4,Alabama,1,00_04,3233
Otitis media,4,Alabama,1,00_04,423
SSTIs,4,Alabama,1,00_04,33
Viral pneumonia,4,Alabama,1,00_04,1
Acute sinusitis,5,Alabama,1,00_04,73
Bacterial pneumonia,5,Alabama,1,00_04,18
Influenza,5,Alabama,1,00_04,2
Other pharyngitis,5,Alabama,1,00_04,126
Other/None,5,Alabama,1,00_04,2811
Otitis media,5,Alabama,1,00_04,329
SSTIs,5,Alabama,1,00_04,22
UTIs,5,Alabama,1,00_04,1
Acute sinusitis,6,Alabama,1,00_04,37
Bacterial pneumonia,6,Alabama,1,00_04,10
Influenza,6,Alabama,1,00_04,2
Other pharyngitis,6,Alabama,1,00_04,124
Other/None,6,Alabama,1,00_04,2779
Otitis media,6,Alabama,1,00_04,213
SSTIs,6,Alabama,1,00_04,52
UTIs,6,Alabama,1,00_04,1
Acute sinusitis,7,Alabama,1,00_04,43
Bacterial pneumonia,7,Alabama,1,00_04,10
Influenza,7,Alabama,1,00_04,1
Other pharyngitis,7,Alabama,1,00_04,111
Other/None,7,Alabama,1,00_04,2680
Otitis media,7,Alabama,1,00_04,198
SSTIs,7,Alabama,1,00_04,49
UTIs,7,Alabama,1,00_04,1
Acute sinusitis,8,Alabama,1,00_04,47
Bacterial pneumonia,8,Alabama,1,00_04,10
Influenza,8,Alabama,1,00_04,1
Other pharyngitis,8,Alabama,1,00_04,117
Other/None,8,Alabama,1,00_04,2767
Otitis media,8,Alabama,1,00_04,199
SSTIs,8,Alabama,1,00_04,39
UTIs,8,Alabama,1,00_04,3
Viral pneumonia,8,Alabama,1,00_04,1
Acute sinusitis,9,Alabama,1,00_04,93
Bacterial pneumonia,9,Alabama,1,00_04,5
Influenza,9,Alabama,1,00_04,7
Other pharyngitis,9,Alabama,1,00_04,180
Other/None,9,Alabama,1,00_04,3129
Otitis media,9,Alabama,1,00_04,246
SSTIs,9,Alabama,1,00_04,25
Acute sinusitis,10,Alabama,1,00_04,94
Bacterial pneumonia,10,Alabama,1,00_04,17
Fungal pneumonia,10,Alabama,1,00_04,1
GI infections,10,Alabama,1,00_04,16
Influenza,10,Alabama,1,00_04,10
Other pharyngitis,10,Alabama,1,00_04,142
Other/None,10,Alabama,1,00_04,3631
Otitis media,10,Alabama,1,00_04,239
SSTIs,10,Alabama,1,00_04,32
Strep pharyngitis,10,Alabama,1,00_04,67
UTIs,10,Alabama,1,00_04,1
Viral pneumonia,10,Alabama,1,00_04,1
Acute sinusitis,11,Alabama,1,00_04,87
Bacterial pneumonia,11,Alabama,1,00_04,37
GI infections,11,Alabama,1,00_04,8
Influenza,11,Alabama,1,00_04,8
Other pharyngitis,11,Alabama,1,00_04,155
Other/None,11,Alabama,1,00_04,3096
Otitis media,11,Alabama,1,00_04,288
SSTIs,11,Alabama,1,00_04,21
Strep pharyngitis,11,Alabama,1,00_04,95
UTIs,11,Alabama,1,00_04,2
Viral pneumonia,11,Alabama,1,00_04,1
Acute sinusitis,12,Alabama,1,00_04,138
Bacterial pneumonia,12,Alabama,1,00_04,30
GI infections,12,Alabama,1,00_04,9
Influenza,12,Alabama,1,00_04,5
Other pharyngitis,12,Alabama,1,00_04,154
Other/None,12,Alabama,1,00_04,2859
Otitis media,12,Alabama,1,00_04,359
SSTIs,12,Alabama,1,00_04,12
Strep pharyngitis,12,Alabama,1,00_04,70
UTIs,12,Alabama,1,00_04,2
Viral pneumonia,12,Alabama,1,00_04,1
Acute sinusitis,1,Alabama,2,00_04,93
Bacterial pneumonia,1,Alabama,2,00_04,27
Influenza,1,Alabama,2,00_04,107
