COND2,MONTH,STATE,SEX,AGEGRP,NVISITS
Acute sinusitis,1,Alabama,1,00_04,30
Bacterial pneumonia,1,Alabama,1,00_04,8
Influenza,1,Alabama,1,00_04,5
Other pharyngitis,1,Alabama,1,00_04,27
Other/None,1,Alabama,1,00_04,5580
Otitis media,1,Alabama,1,00_04,97
SSTIs,1,Alabama,1,00_04,7
Viral pneumonia,1,Alabama,1,00_04,1
Acute sinusitis,2,Alabama,1,00_04,27
Bacterial pneumonia,2,Alabama,1,00_04,1
Influenza,2,Alabama,1,00_04,6
Other pharyngitis,2,Alabama,1,00_04,35
Other/None,2,Alabama,1,00_04,4979
Otitis media,2,Alabama,1,00_04,84
SSTIs,2,Alabama,1,00_04,2
Acute sinusitis,3,Alabama,1,00_04,25
Bacterial pneumonia,3,Alabama,1,00_04,4
Influenza,3,Alabama,1,00_04,4
Other pharyngitis,3,Alabama,1,00_04,35
Other/None,3,Alabama,1,00_04,5054
Otitis media,3,Alabama,1,00_04,90
SSTIs,3,Alabama,1,00_04,4
Acute sinusitis,4,Alabama,1,00_04,21
Bacterial pneumonia,4,Alabama,1,00_04,1
Influenza,4,Alabama,1,00_04,3
Other pharyngitis,4,Alabama,1,00_04,29
Other/None,4,Alabama,1,00_04,4859
Otitis media,4,Alabama,1,00_04,55
SSTIs,4,Alabama,1,00_04,2
UTIs,4,Alabama,1,00_04,1
Acute sinusitis,5,Alabama,1,00_04,24
Other pharyngitis,5,Alabama,1,00_04,22
Other/None,5,Alabama,1,00_04,4303
Otitis media,5,Alabama,1,00_04,41
SSTIs,5,Alabama,1,00_04,4
Acute sinusitis,6,Alabama,1,00_04,14
Bacterial pneumonia,6,Alabama,1,00_04,1
Other pharyngitis,6,Alabama,1,00_04,19
Other/None,6,Alabama,1,00_04,3685
Otitis media,6,Alabama,1,00_04,35
SSTIs,6,Alabama,1,00_04,3
UTIs,6,Alabama,1,00_04,2
Acute sinusitis,7,Alabama,1,00_04,9
Bacterial pneumonia,7,Alabama,1,00_04,1
Other pharyngitis,7,Alabama,1,00_04,23
Other/None,7,Alabama,1,00_04,3857
Otitis media,7,Alabama,1,00_04,34
SSTIs,7,Alabama,1,00_04,7
Acute sinusitis,8,Alabama,1,00_04,11
Bacterial pneumonia,8,Alabama,1,00_04,1
Other pharyngitis,8,Alabama,1,00_04,26
Other/None,8,Alabama,1,00_04,4171
Otitis media,8,Alabama,1,00_04,34
SSTIs,8,Alabama,1,00_04,10
Acute sinusitis,9,Alabama,1,00_04,26
Bacterial pneumonia,9,Alabama,1,00_04,3
Other pharyngitis,9,Alabama,1,00_04,41
Other/None,9,Alabama,1,00_04,4431
Otitis media,9,Alabama,1,00_04,48
SSTIs,9,Alabama,1,00_04,6
Acute sinusitis,10,Alabama,1,00_04,24
Bacterial pneumonia,10,Alabama,1,00_04,8
Influenza,10,Alabama,1,00_04,2
Other pharyngitis,10,Alabama,1,00_04,36
Other/None,10,Alabama,1,00_04,5313
Otitis media,10,Alabama,1,00_04,58
SSTIs,10,Alabama,1,00_04,7
Acute sinusitis,11,Alabama,1,00_04,25
Bacterial pneumonia,11,Alabama,1,00_04,7
Influenza,11,Alabama,1,00_04,4
Other pharyngitis,11,Alabama,1,00_04,46
Other/None,11,Alabama,1,00_04,4560
Otitis media,11,Alabama,1,00_04,66
SSTIs,11,Alabama,1,00_04,4
Acute sinusitis,12,Alabama,1,00_04,29
Bacterial pneumonia,12,Alabama,1,00_04,4
Influenza,12,Alabama,1,00_04,25
Other pharyngitis,12,Alabama,1,00_04,39
Other/None,12,Alabama,1,00_04,4542
Otitis media,12,Alabama,1,00_04,98
SSTIs,12,Alabama,1,00_04,1
UTIs,12,Alabama,1,00_04,1
Acute sinusitis,1,Alabama,2,00_04,18
Bacterial pneumonia,1,Alabama,2,00_04,4
Influenza,1,Alabama,2,00_04,16
Other pharyngitis,1,Alabama,2,00_04,38
Other/None,1,Alabama,2,00_04,5242
Otitis media,1,Alabama,2,00_04,82
SSTIs,1,Alabama,2,00_04,4
UTIs,1,Alabama,2,00_04,5
Acute sinusitis,2,Alabama,2,00_04,19
Bacterial pneumonia,2,Alabama,2,00_04,2
Influenza,2,Alabama,2,00_04,7
Other pharyngitis,2,Alabama,2,00_04,29
Other/None,2,Alabama,2,00_04,4634
Otitis media,2,Alabama,2,00_04,70
SSTIs,2,Alabama,2,00_04,5
UTIs,2,Alabama,2,00_04,4
Acute sinusitis,3,Alabama,2,00_04,22
Bacterial pneumonia,3,Alabama,2,00_04,6
Influenza,3,Alabama,2,00_04,8
Other pharyngitis,3,Alabama,2,00_04,38
Other/None,3,Alabama,2,00_04,4446
Otitis media,3,Alabama,2,00_04,91
SSTIs,3,Alabama,2,00_04,2
UTIs,3,Alabama,2,00_04,1
Acute sinusitis,4,Alabama,2,00_04,10
Bacterial pneumonia,4,Alabama,2,00_04,4
Influenza,4,Alabama,2,00_04,2
Other pharyngitis,4,Alabama,2,00_04,30
Other/None,4,Alabama,2,00_04,4224
Otitis media,4,Alabama,2,00_04,52
SSTIs,4,Alabama,2,00_04,5
UTIs,4,Alabama,2,00_04,4
Acute sinusitis,5,Alabama,2,00_04,14
Bacterial pneumonia,5,Alabama,2,00_04,4
Other pharyngitis,5,Alabama,2,00_04,28
Other/None,5,Alabama,2,00_04,3948
Otitis media,5,Alabama,2,00_04,46
SSTIs,5,Alabama,2,00_04,4
UTIs,5,Alabama,2,00_04,3
Acute sinusitis,6,Alabama,2,00_04,12
Bacterial pneumonia,6,Alabama,2,00_04,2
Other pharyngitis,6,Alabama,2,00_04,23
Other/None,6,Alabama,2,00_04,3224
Otitis media,6,Alabama,2,00_04,23
SSTIs,6,Alabama,2,00_04,3
UTIs,6,Alabama,2,00_04,1
Acute sinusitis,7,Alabama,2,00_04,7
Bacterial pneumonia,7,Alabama,2,00_04,2
Other pharyngitis,7,Alabama,2,00_04,27
Other/None,7,Alabama,2,00_04,3424
Otitis media,7,Alabama,2,00_04,23
SSTIs,7,Alabama,2,00_04,4
UTIs,7,Alabama,2,00_04,2
Acute sinusitis,8,Alabama,2,00_04,9
Bacterial pneumonia,8,Alabama,2,00_04,1
Other pharyngitis,8,Alabama,2,00_04,36
Other/None,8,Alabama,2,00_04,3627
Otitis media,8,Alabama,2,00_04,22
SSTIs,8,Alabama,2,00_04,6
Acute sinusitis,9,Alabama,2,00_04,17
Bacterial pneumonia,9,Alabama,2,00_04,2
Other pharyngitis,9,Alabama,2,00_04,28
Other/None,9,Alabama,2,00_04,3869
Otitis media,9,Alabama,2,00_04,38
SSTIs,9,Alabama,2,00_04,5
UTIs,9,Alabama,2,00_04,2
Acute sinusitis,10,Alabama,2,00_04,24
Bacterial pneumonia,10,Alabama,2,00_04,2
Influenza,10,Alabama,2,00_04,3
Other pharyngitis,10,Alabama,2,00_04,43
Other/None,10,Alabama,2,00_04,4801
Otitis media,10,Alabama,2,00_04,46
SSTIs,10,Alabama,2,00_04,5
UTIs,10,Alabama,2,00_04,5
Acute sinusitis,11,Alabama,2,00_04,28
Bacterial pneumonia,11,Alabama,2,00_04,1
Influenza,11,Alabama,2,00_04,8
Other pharyngitis,11,Alabama,2,00_04,46
Other/None,11,Alabama,2,00_04,4074
Otitis media,11,Alabama,2,00_04,61
UTIs,11,Alabama,2,00_04,5
Acute sinusitis,12,Alabama,2,00_04,30
Bacterial pneumonia,12,Alabama,2,00_04,8
Influenza,12,Alabama,2,00_04,16
Other pharyngitis,12,Alabama,2,00_04,57
Other/None,12,Alabama,2,00_04,4224
Otitis media,12,Alabama,2,00_04,77
SSTIs,12,Alabama,2,00_04,6
UTIs,12,Alabama,2,00_04,2
Acute sinusitis,1,Alabama,1,05_09,26
Bacterial pneumonia,1,Alabama,1,05_09,1
Influenza,1,Alabama,1,05_09,11
Other pharyngitis,1,Alabama,1,05_09,44
