COND2,MONTH,STATE,SEX,AGEGRP,NVISITS
Acute sinusitis,1,Alabama,1,00_04,34
Bacterial pneumonia,1,Alabama,1,00_04,4
Influenza,1,Alabama,1,00_04,25
Other pharyngitis,1,Alabama,1,00_04,63
Other/None,1,Alabama,1,00_04,4068
Otitis media,1,Alabama,1,00_04,182
SSTIs,1,Alabama,1,00_04,7
UTIs,1,Alabama,1,00_04,2
Viral pneumonia,1,Alabama,1,00_04,1
Acute sinusitis,2,Alabama,1,00_04,53
Bacterial pneumonia,2,Alabama,1,00_04,4
Influenza,2,Alabama,1,00_04,19
Other pharyngitis,2,Alabama,1,00_04,62
Other/None,2,Alabama,1,00_04,3805
Otitis media,2,Alabama,1,00_04,165
SSTIs,2,Alabama,1,00_04,2
UTIs,2,Alabama,1,00_04,1
Viral pneumonia,2,Alabama,1,00_04,1
Acute sinusitis,3,Alabama,1,00_04,37
Bacterial pneumonia,3,Alabama,1,00_04,3
Influenza,3,Alabama,1,00_04,18
Other pharyngitis,3,Alabama,1,00_04,58
Other/None,3,Alabama,1,00_04,3724
Otitis media,3,Alabama,1,00_04,157
SSTIs,3,Alabama,1,00_04,3
Viral pneumonia,3,Alabama,1,00_04,1
Acute sinusitis,4,Alabama,1,00_04,33
Bacterial pneumonia,4,Alabama,1,00_04,3
Other pharyngitis,4,Alabama,1,00_04,83
Other/None,4,Alabama,1,00_04,3652
Otitis media,4,Alabama,1,00_04,126
SSTIs,4,Alabama,1,00_04,7
UTIs,4,Alabama,1,00_04,2
Acute sinusitis,5,Alabama,1,00_04,34
Bacterial pneumonia,5,Alabama,1,00_04,3
Other pharyngitis,5,Alabama,1,00_04,50
Other/None,5,Alabama,1,00_04,3157
Otitis media,5,Alabama,1,00_04,126
SSTIs,5,Alabama,1,00_04,10
UTIs,5,Alabama,1,00_04,2
Acute sinusitis,6,Alabama,1,00_04,17
Bacterial pneumonia,6,Alabama,1,00_04,4
Other pharyngitis,6,Alabama,1,00_04,43
Other/None,6,Alabama,1,00_04,3062
Otitis media,6,Alabama,1,00_04,79
SSTIs,6,Alabama,1,00_04,13
Acute sinusitis,7,Alabama,1,00_04,16
Influenza,7,Alabama,1,00_04,1
Other pharyngitis,7,Alabama,1,00_04,48
Other/None,7,Alabama,1,00_04,2963
Otitis media,7,Alabama,1,00_04,53
SSTIs,7,Alabama,1,00_04,12
Acute sinusitis,8,Alabama,1,00_04,29
Bacterial pneumonia,8,Alabama,1,00_04,1
Other pharyngitis,8,Alabama,1,00_04,52
Other/None,8,Alabama,1,00_04,3018
Otitis media,8,Alabama,1,00_04,75
SSTIs,8,Alabama,1,00_04,8
UTIs,8,Alabama,1,00_04,1
Acute sinusitis,9,Alabama,1,00_04,54
Bacterial pneumonia,9,Alabama,1,00_04,1
Influenza,9,Alabama,1,00_04,2
Other pharyngitis,9,Alabama,1,00_04,59
Other/None,9,Alabama,1,00_04,3470
Otitis media,9,Alabama,1,00_04,96
SSTIs,9,Alabama,1,00_04,3
Acute sinusitis,10,Alabama,1,00_04,46
Bacterial pneumonia,10,Alabama,1,00_04,4
Fungal pneumonia,10,Alabama,1,00_04,1
GI infections,10,Alabama,1,00_04,4
Influenza,10,Alabama,1,00_04,3
Other pharyngitis,10,Alabama,1,00_04,77
Other/None,10,Alabama,1,00_04,4004
Otitis media,10,Alabama,1,00_04,94
SSTIs,10,Alabama,1,00_04,11
Strep pharyngitis,10,Alabama,1,00_04,7
Acute sinusitis,11,Alabama,1,00_04,51
Bacterial pneumonia,11,Alabama,1,00_04,8
