COND1,MONTH,STATE,SEX,AGEGRP,NVISITS
Acute sinusitis,1,Alabama,1,00_04,106
Bacterial pneumonia,1,Alabama,1,00_04,47
Influenza,1,Alabama,1,00_04,110
Other pharyngitis,1,Alabama,1,00_04,171
Other/None,1,Alabama,1,00_04,4667
Otitis media,1,Alabama,1,00_04,608
SSTIs,1,Alabama,1,00_04,38
UTIs,1,Alabama,1,00_04,4
Viral pneumonia,1,Alabama,1,00_04,4
Acute sinusitis,2,Alabama,1,00_04,126
Bacterial pneumonia,2,Alabama,1,00_04,35
Influenza,2,Alabama,1,00_04,67
Other pharyngitis,2,Alabama,1,00_04,155
Other/None,2,Alabama,1,00_04,4126
Otitis media,2,Alabama,1,00_04,592
SSTIs,2,Alabama,1,00_04,26
UTIs,2,Alabama,1,00_04,4
Viral pneumonia,2,Alabama,1,00_04,3
Acute sinusitis,3,Alabama,1,00_04,103
Bacterial pneumonia,3,Alabama,1,00_04,41
Influenza,3,Alabama,1,00_04,51
Other pharyngitis,3,Alabama,1,00_04,192
Other/None,3,Alabama,1,00_04,4173
Otitis media,3,Alabama,1,00_04,619
SSTIs,3,Alabama,1,00_04,35
UTIs,3,Alabama,1,00_04,2
Acute sinusitis,4,Alabama,1,00_04,76
Bacterial pneumonia,4,Alabama,1,00_04,22
Influenza,4,Alabama,1,00_04,29
Other pharyngitis,4,Alabama,1,00_04,178
Other/None,4,Alabama,1,00_04,4150
Otitis media,4,Alabama,1,00_04,477
SSTIs,4,Alabama,1,00_04,39
Acute sinusitis,5,Alabama,1,00_04,91
Bacterial pneumonia,5,Alabama,1,00_04,18
Influenza,5,Alabama,1,00_04,3
Other pharyngitis,5,Alabama,1,00_04,141
Other/None,5,Alabama,1,00_04,3716
Otitis media,5,Alabama,1,00_04,384
SSTIs,5,Alabama,1,00_04,37
UTIs,5,Alabama,1,00_04,4
Acute sinusitis,6,Alabama,1,00_04,44
Bacterial pneumonia,6,Alabama,1,00_04,16
Influenza,6,Alabama,1,00_04,2
