COND1,MONTH,STATE,SEX,AGEGRP,NVISITS
Acute sinusitis,1,Alabama,1,00_04,88
Bacterial pneumonia,1,Alabama,1,00_04,30
GI infections,1,Alabama,1,00_04,32
Influenza,1,Alabama,1,00_04,478
Other pharyngitis,1,Alabama,1,00_04,142
Other/None,1,Alabama,1,00_04,3954
Otitis media,1,Alabama,1,00_04,404
SSTIs,1,Alabama,1,00_04,24
Strep pharyngitis,1,Alabama,1,00_04,63
Viral pneumonia,1,Alabama,1,00_04,3
Acute sinusitis,2,Alabama,1,00_04,82
Bacterial pneumonia,2,Alabama,1,00_04,18
GI infections,2,Alabama,1,00_04,17
Influenza,2,Alabama,1,00_04,227
Other pharyngitis,2,Alabama,1,00_04,131
Other/None,2,Alabama,1,00_04,3422
Otitis media,2,Alabama,1,00_04,342
SSTIs,2,Alabama,1,00_04,24
Strep pharyngitis,2,Alabama,1,00_04,49
UTIs,2,Alabama,1,00_04,2
Viral pneumonia,2,Alabama,1,00_04,1
Acute sinusitis,3,Alabama,1,00_04,100
Bacterial pneumonia,3,Alabama,1,00_04,19
GI infections,3,Alabama,1,00_04,20
Influenza,3,Alabama,1,00_04,21
Other pharyngitis,3,Alabama,1,00_04,122
Other/None,3,Alabama,1,00_04,3577
Otitis media,3,Alabama,1,00_04,366
SSTIs,3,Alabama,1,00_04,20
Strep pharyngitis,3,Alabama,1,00_04,49
UTIs,3,Alabama,1,00_04,7
Acute sinusitis,4,Alabama,1,00_04,78
Bacterial pneumonia,4,Alabama,1,00_04,12
GI infections,4,Alabama,1,00_04,24
Influenza,4,Alabama,1,00_04,10
Other pharyngitis,4,Alabama,1,00_04,124
Other/None,4,Alabama,1,00_04,3479
Otitis media,4,Alabama,1,00_04,335
SSTIs,4,Alabama,1,00_04,22
Strep pharyngitis,4,Alabama,1,00_04,63
UTIs,4,Alabama,1,00_04,4
Acute sinusitis,5,Alabama,1,00_04,73
Bacterial pneumonia,5,Alabama,1,00_04,4
GI infections,5,Alabama,1,00_04,19
Influenza,5,Alabama,1,00_04,8
Other pharyngitis,5,Alabama,1,00_04,128
Other/None,5,Alabama,1,00_04,3423
Otitis media,5,Alabama,1,00_04,311
SSTIs,5,Alabama,1,00_04,36
Strep pharyngitis,5,Alabama,1,00_04,68
UTIs,5,Alabama,1,00_04,5
Acute sinusitis,6,Alabama,1,00_04,47
Bacterial pneumonia,6,Alabama,1,00_04,6
GI infections,6,Alabama,1,00_04,20
Influenza,6,Alabama,1,00_04,3
Other pharyngitis,6,Alabama,1,00_04,106
Other/None,6,Alabama,1,00_04,3093
Otitis media,6,Alabama,1,00_04,210
SSTIs,6,Alabama,1,00_04,41
Strep pharyngitis,6,Alabama,1,00_04,51
UTIs,6,Alabama,1,00_04,3
Viral pneumonia,6,Alabama,1,00_04,1
Acute sinusitis,7,Alabama,1,00_04,33
Bacterial pneumonia,7,Alabama,1,00_04,7
GI infections,7,Alabama,1,00_04,23
Influenza,7,Alabama,1,00_04,8
Other pharyngitis,7,Alabama,1,00_04,105
Other/None,7,Alabama,1,00_04,3205
Otitis media,7,Alabama,1,00_04,181
SSTIs,7,Alabama,1,00_04,43
Strep pharyngitis,7,Alabama,1,00_04,49
UTIs,7,Alabama,1,00_04,6
Acute sinusitis,8,Alabama,1,00_04,77
Bacterial pneumonia,8,Alabama,1,00_04,9
GI infections,8,Alabama,1,00_04,13
Influenza,8,Alabama,1,00_04,9
Other pharyngitis,8,Alabama,1,00_04,145
Other/None,8,Alabama,1,00_04,3590
Otitis media,8,Alabama,1,00_04,259
SSTIs,8,Alabama,1,00_04,70
Strep pharyngitis,8,Alabama,1,00_04,62
UTIs,8,Alabama,1,00_04,2
Acute sinusitis,9,Alabama,1,00_04,87
Bacterial pneumonia,9,Alabama,1,00_04,9
GI infections,9,Alabama,1,00_04,13
Influenza,9,Alabama,1,00_04,13
Other pharyngitis,9,Alabama,1,00_04,163
Other/None,9,Alabama,1,00_04,3400
Otitis media,9,Alabama,1,00_04,267
SSTIs,9,Alabama,1,00_04,47
Strep pharyngitis,9,Alabama,1,00_04,79
UTIs,9,Alabama,1,00_04,2
Acute sinusitis,10,Alabama,1,00_04,124
Bacterial pneumonia,10,Alabama,1,00_04,17
GI infections,10,Alabama,1,00_04,23
Influenza,10,Alabama,1,00_04,17
Other pharyngitis,10,Alabama,1,00_04,186
Other/None,10,Alabama,1,00_04,4474
Otitis media,10,Alabama,1,00_04,307
SSTIs,10,Alabama,1,00_04,45
Strep pharyngitis,10,Alabama,1,00_04,102
UTIs,10,Alabama,1,00_04,3
Viral pneumonia,10,Alabama,1,00_04,2
Acute sinusitis,11,Alabama,1,00_04,149
Bacterial pneumonia,11,Alabama,1,00_04,30
GI infections,11,Alabama,1,00_04,18
Influenza,11,Alabama,1,00_04,16
Other pharyngitis,11,Alabama,1,00_04,156
Other/None,11,Alabama,1,00_04,3828
Otitis media,11,Alabama,1,00_04,398
SSTIs,11,Alabama,1,00_04,25
Strep pharyngitis,11,Alabama,1,00_04,112
UTIs,11,Alabama,1,00_04,1
Viral pneumonia,11,Alabama,1,00_04,1
Acute sinusitis,12,Alabama,1,00_04,138
Bacterial pneumonia,12,Alabama,1,00_04,13
GI infections,12,Alabama,1,00_04,20
Influenza,12,Alabama,1,00_04,75
Other pharyngitis,12,Alabama,1,00_04,163
Other/None,12,Alabama,1,00_04,3079
Otitis media,12,Alabama,1,00_04,383
SSTIs,12,Alabama,1,00_04,24
Strep pharyngitis,12,Alabama,1,00_04,93
UTIs,12,Alabama,1,00_04,2
Viral pneumonia,12,Alabama,1,00_04,1
Acute sinusitis,1,Alabama,2,00_04,75
Bacterial pneumonia,1,Alabama,2,00_04,24
GI infections,1,Alabama,2,00_04,14
Influenza,1,Alabama,2,00_04,409
Other pharyngitis,1,Alabama,2,00_04,166
Other/None,1,Alabama,2,00_04,3487
Otitis media,1,Alabama,2,00_04,302
SSTIs,1,Alabama,2,00_04,14
Strep pharyngitis,1,Alabama,2,00_04,67
UTIs,1,Alabama,2,00_04,21
Viral pneumonia,1,Alabama,2,00_04,13
Acute sinusitis,2,Alabama,2,00_04,51
Bacterial pneumonia,2,Alabama,2,00_04,16
GI infections,2,Alabama,2,00_04,16
Influenza,2,Alabama,2,00_04,169
Other pharyngitis,2,Alabama,2,00_04,142
Other/None,2,Alabama,2,00_04,2856
Otitis media,2,Alabama,2,00_04,303
SSTIs,2,Alabama,2,00_04,9
Strep pharyngitis,2,Alabama,2,00_04,50
UTIs,2,Alabama,2,00_04,39
Viral pneumonia,2,Alabama,2,00_04,1
Acute sinusitis,3,Alabama,2,00_04,71
Bacterial pneumonia,3,Alabama,2,00_04,17
GI infections,3,Alabama,2,00_04,19
Influenza,3,Alabama,2,00_04,26
Other pharyngitis,3,Alabama,2,00_04,120
Other/None,3,Alabama,2,00_04,2942
Otitis media,3,Alabama,2,00_04,298
SSTIs,3,Alabama,2,00_04,25
Strep pharyngitis,3,Alabama,2,00_04,55
UTIs,3,Alabama,2,00_04,27
Viral pneumonia,3,Alabama,2,00_04,1
Acute sinusitis,4,Alabama,2,00_04,65
Bacterial pneumonia,4,Alabama,2,00_04,17
GI infections,4,Alabama,2,00_04,17
Influenza,4,Alabama,2,00_04,12
Other pharyngitis,4,Alabama,2,00_04,114
Other/None,4,Alabama,2,00_04,2829
Otitis media,4,Alabama,2,00_04,318
SSTIs,4,Alabama,2,00_04,25
Strep pharyngitis,4,Alabama,2,00_04,39
UTIs,4,Alabama,2,00_04,46
Viral pneumonia,4,Alabama,2,00_04,2
Acute sinusitis,5,Alabama,2,00_04,63
Bacterial pneumonia,5,Alabama,2,00_04,13
GI infections,5,Alabama,2,00_04,14
Influenza,5,Alabama,2,00_04,10
Other pharyngitis,5,Alabama,2,00_04,125
Other/None,5,Alabama,2,00_04,2711
Otitis media,5,Alabama,2,00_04,269
SSTIs,5,Alabama,2,00_04,35
Strep pharyngitis,5,Alabama,2,00_04,41
UTIs,5,Alabama,2,00_04,23
Acute sinusitis,6,Alabama,2,00_04,37
Bacterial pneumonia,6,Alabama,2,00_04,7
GI infections,6,Alabama,2,00_04,15
Influenza,6,Alabama,2,00_04,2
Other pharyngitis,6,Alabama,2,00_04,114
Other/None,6,Alabama,2,00_04,2438
Otitis media,6,Alabama,2,00_04,177
SSTIs,6,Alabama,2,00_04,38
Strep pharyngitis,6,Alabama,2,00_04,40
UTIs,6,Alabama,2,00_04,28
Acute sinusitis,7,Alabama,2,00_04,30
Bacterial pneumonia,7,Alabama,2,00_04,7
GI infections,7,Alabama,2,00_04,12
Influenza,7,Alabama,2,00_04,2
Other pharyngitis,7,Alabama,2,00_04,92
Other/None,7,Alabama,2,00_04,2543
Otitis media,7,Alabama,2,00_04,180
SSTIs,7,Alabama,2,00_04,49
Strep pharyngitis,7,Alabama,2,00_04,31
UTIs,7,Alabama,2,00_04,32
Acute sinusitis,8,Alabama,2,00_04,83
Bacterial pneumonia,8,Alabama,2,00_04,14
GI infections,8,Alabama,2,00_04,10
Influenza,8,Alabama,2,00_04,6
Other pharyngitis,8,Alabama,2,00_04,145
Other/None,8,Alabama,2,00_04,2716
Otitis media,8,Alabama,2,00_04,223
SSTIs,8,Alabama,2,00_04,60
Strep pharyngitis,8,Alabama,2,00_04,57
UTIs,8,Alabama,2,00_04,31
Acute sinusitis,9,Alabama,2,00_04,82
Bacterial pneumonia,9,Alabama,2,00_04,12
GI infections,9,Alabama,2,00_04,19
Influenza,9,Alabama,2,00_04,5
Other pharyngitis,9,Alabama,2,00_04,162
Other/None,9,Alabama,2,00_04,2573
Otitis media,9,Alabama,2,00_04,219
SSTIs,9,Alabama,2,00_04,50
Strep pharyngitis,9,Alabama,2,00_04,84
UTIs,9,Alabama,2,00_04,39
Acute sinusitis,10,Alabama,2,00_04,97
Bacterial pneumonia,10,Alabama,2,00_04,30
GI infections,10,Alabama,2,00_04,15
Influenza,10,Alabama,2,00_04,9
Other pharyngitis,10,Alabama,2,00_04,168
Other/None,10,Alabama,2,00_04,3507
Otitis media,10,Alabama,2,00_04,267
SSTIs,10,Alabama,2,00_04,30
Strep pharyngitis,10,Alabama,2,00_04,76
UTIs,10,Alabama,2,00_04,49
Acute sinusitis,11,Alabama,2,00_04,131
Bacterial pneumonia,11,Alabama,2,00_04,29
GI infections,11,Alabama,2,00_04,9
Influenza,11,Alabama,2,00_04,11
Other pharyngitis,11,Alabama,2,00_04,185
Other/None,11,Alabama,2,00_04,2965
Otitis media,11,Alabama,2,00_04,381
SSTIs,11,Alabama,2,00_04,37
Strep pharyngitis,11,Alabama,2,00_04,83
UTIs,11,Alabama,2,00_04,36
Acute sinusitis,12,Alabama,2,00_04,121
Bacterial pneumonia,12,Alabama,2,00_04,33
GI infections,12,Alabama,2,00_04,19
Influenza,12,Alabama,2,00_04,65
Other pharyngitis,12,Alabama,2,00_04,167
Other/None,12,Alabama,2,00_04,2437
Otitis media,12,Alabama,2,00_04,359
SSTIs,12,Alabama,2,00_04,26
Strep pharyngitis,12,Alabama,2,00_04,91
UTIs,12,Alabama,2,00_04,32
Viral pneumonia,12,Alabama,2,00_04,3
Acute sinusitis,1,Alabama,1,05_09,63
Bacterial pneumonia,1,Alabama,1,05_09,22
GI infections,1,Alabama,1,05_09,17
Influenza,1,Alabama,1,05_09,489
Other pharyngitis,1,Alabama,1,05_09,221
Other/None,1,Alabama,1,05_09,2804
Otitis media,1,Alabama,1,05_09,69
SSTIs,1,Alabama,1,05_09,13
Strep pharyngitis,1,Alabama,1,05_09,138
UTIs,1,Alabama,1,05_09,2
Viral pneumonia,1,Alabama,1,05_09,2
Acute sinusitis,2,Alabama,1,05_09,98
Bacterial pneumonia,2,Alabama,1,05_09,19
GI infections,2,Alabama,1,05_09,17
Influenza,2,Alabama,1,05_09,299
Other pharyngitis,2,Alabama,1,05_09,257
Other/None,2,Alabama,1,05_09,2884
Otitis media,2,Alabama,1,05_09,98
SSTIs,2,Alabama,1,05_09,28
Strep pharyngitis,2,Alabama,1,05_09,138
UTIs,2,Alabama,1,05_09,2
Viral pneumonia,2,Alabama,1,05_09,2
Acute sinusitis,3,Alabama,1,05_09,102
Bacterial pneumonia,3,Alabama,1,05_09,12
GI infections,3,Alabama,1,05_09,10
Influenza,3,Alabama,1,05_09,48
Other pharyngitis,3,Alabama,1,05_09,149
Other/None,3,Alabama,1,05_09,2928
Otitis media,3,Alabama,1,05_09,111
SSTIs,3,Alabama,1,05_09,19
Strep pharyngitis,3,Alabama,1,05_09,105
UTIs,3,Alabama,1,05_09,3
Viral pneumonia,3,Alabama,1,05_09,2
Acute sinusitis,4,Alabama,1,05_09,78
Bacterial pneumonia,4,Alabama,1,05_09,15
GI infections,4,Alabama,1,05_09,23
Influenza,4,Alabama,1,05_09,5
Other pharyngitis,4,Alabama,1,05_09,132
Other/None,4,Alabama,1,05_09,2894
Otitis media,4,Alabama,1,05_09,69
SSTIs,4,Alabama,1,05_09,29
Strep pharyngitis,4,Alabama,1,05_09,111
UTIs,4,Alabama,1,05_09,5
Acute sinusitis,5,Alabama,1,05_09,54
Bacterial pneumonia,5,Alabama,1,05_09,12
GI infections,5,Alabama,1,05_09,9
Influenza,5,Alabama,1,05_09,3
Other pharyngitis,5,Alabama,1,05_09,121
Other/None,5,Alabama,1,05_09,2819
Otitis media,5,Alabama,1,05_09,78
SSTIs,5,Alabama,1,05_09,44
Strep pharyngitis,5,Alabama,1,05_09,101
UTIs,5,Alabama,1,05_09,2
Acute sinusitis,6,Alabama,1,05_09,32
Bacterial pneumonia,6,Alabama,1,05_09,6
GI infections,6,Alabama,1,05_09,11
Influenza,6,Alabama,1,05_09,4
Other pharyngitis,6,Alabama,1,05_09,65
Other/None,6,Alabama,1,05_09,2604
Otitis media,6,Alabama,1,05_09,60
SSTIs,6,Alabama,1,05_09,54
Strep pharyngitis,6,Alabama,1,05_09,48
UTIs,6,Alabama,1,05_09,4
Acute sinusitis,7,Alabama,1,05_09,28
Bacterial pneumonia,7,Alabama,1,05_09,4
GI infections,7,Alabama,1,05_09,6
Influenza,7,Alabama,1,05_09,2
Other pharyngitis,7,Alabama,1,05_09,72
Other/None,7,Alabama,1,05_09,2862
Otitis media,7,Alabama,1,05_09,62
SSTIs,7,Alabama,1,05_09,54
Strep pharyngitis,7,Alabama,1,05_09,39
UTIs,7,Alabama,1,05_09,2
Acute sinusitis,8,Alabama,1,05_09,65
Bacterial pneumonia,8,Alabama,1,05_09,4
GI infections,8,Alabama,1,05_09,11
Influenza,8,Alabama,1,05_09,4
Other pharyngitis,8,Alabama,1,05_09,175
Other/None,8,Alabama,1,05_09,3139
Otitis media,8,Alabama,1,05_09,79
SSTIs,8,Alabama,1,05_09,83
Strep pharyngitis,8,Alabama,1,05_09,70
UTIs,8,Alabama,1,05_09,4
Acute sinusitis,9,Alabama,1,05_09,66
Bacterial pneumonia,9,Alabama,1,05_09,9
GI infections,9,Alabama,1,05_09,10
Influenza,9,Alabama,1,05_09,4
Other pharyngitis,9,Alabama,1,05_09,173
Other/None,9,Alabama,1,05_09,3129
Otitis media,9,Alabama,1,05_09,60
SSTIs,9,Alabama,1,05_09,63
