COND1,MONTH,STATE,SEX,AGEGRP,NVISITS
Acute sinusitis,1,Alabama,1,00_04,89
Bacterial pneumonia,1,Alabama,1,00_04,19
GI infections,1,Alabama,1,00_04,18
Influenza,1,Alabama,1,00_04,59
Other pharyngitis,1,Alabama,1,00_04,160
Other/None,1,Alabama,1,00_04,4051
Otitis media,1,Alabama,1,00_04,380
SSTIs,1,Alabama,1,00_04,34
Strep pharyngitis,1,Alabama,1,00_04,89
UTIs,1,Alabama,1,00_04,2
Viral pneumonia,1,Alabama,1,00_04,2
Acute sinusitis,2,Alabama,1,00_04,87
Bacterial pneumonia,2,Alabama,1,00_04,22
GI infections,2,Alabama,1,00_04,22
Influenza,2,Alabama,1,00_04,137
Other pharyngitis,2,Alabama,1,00_04,171
Other/None,2,Alabama,1,00_04,3611
Otitis media,2,Alabama,1,00_04,385
SSTIs,2,Alabama,1,00_04,19
Strep pharyngitis,2,Alabama,1,00_04,129
UTIs,2,Alabama,1,00_04,3
Viral pneumonia,2,Alabama,1,00_04,4
Acute sinusitis,3,Alabama,1,00_04,77
Bacterial pneumonia,3,Alabama,1,00_04,25
GI infections,3,Alabama,1,00_04,24
Influenza,3,Alabama,1,00_04,125
Other pharyngitis,3,Alabama,1,00_04,191
Other/None,3,Alabama,1,00_04,3742
Otitis media,3,Alabama,1,00_04,411
SSTIs,3,Alabama,1,00_04,26
Strep pharyngitis,3,Alabama,1,00_04,130
UTIs,3,Alabama,1,00_04,7
Viral pneumonia,3,Alabama,1,00_04,4
Acute sinusitis,4,Alabama,1,00_04,53
Bacterial pneumonia,4,Alabama,1,00_04,11
GI infections,4,Alabama,1,00_04,22
Influenza,4,Alabama,1,00_04,37
Other pharyngitis,4,Alabama,1,00_04,128
Other/None,4,Alabama,1,00_04,3136
Otitis media,4,Alabama,1,00_04,290
SSTIs,4,Alabama,1,00_04,30
Strep pharyngitis,4,Alabama,1,00_04,93
UTIs,4,Alabama,1,00_04,1
Acute sinusitis,5,Alabama,1,00_04,92
Bacterial pneumonia,5,Alabama,1,00_04,16
GI infections,5,Alabama,1,00_04,31
Influenza,5,Alabama,1,00_04,15
Other pharyngitis,5,Alabama,1,00_04,158
Other/None,5,Alabama,1,00_04,3399
Otitis media,5,Alabama,1,00_04,297
SSTIs,5,Alabama,1,00_04,52
Strep pharyngitis,5,Alabama,1,00_04,100
UTIs,5,Alabama,1,00_04,3
Viral pneumonia,5,Alabama,1,00_04,1
Acute sinusitis,6,Alabama,1,00_04,48
Bacterial pneumonia,6,Alabama,1,00_04,9
GI infections,6,Alabama,1,00_04,17
Influenza,6,Alabama,1,00_04,7
Other pharyngitis,6,Alabama,1,00_04,136
Other/None,6,Alabama,1,00_04,3179
Otitis media,6,Alabama,1,00_04,243
SSTIs,6,Alabama,1,00_04,48
Strep pharyngitis,6,Alabama,1,00_04,70
UTIs,6,Alabama,1,00_04,3
Acute sinusitis,7,Alabama,1,00_04,42
Bacterial pneumonia,7,Alabama,1,00_04,4
GI infections,7,Alabama,1,00_04,18
Influenza,7,Alabama,1,00_04,3
Other pharyngitis,7,Alabama,1,00_04,109
Other/None,7,Alabama,1,00_04,2904
Otitis media,7,Alabama,1,00_04,170
SSTIs,7,Alabama,1,00_04,59
Strep pharyngitis,7,Alabama,1,00_04,58
UTIs,7,Alabama,1,00_04,5
Acute sinusitis,8,Alabama,1,00_04,87
Bacterial pneumonia,8,Alabama,1,00_04,4
GI infections,8,Alabama,1,00_04,23
Influenza,8,Alabama,1,00_04,4
Other pharyngitis,8,Alabama,1,00_04,138
Other/None,8,Alabama,1,00_04,3281
Otitis media,8,Alabama,1,00_04,231
SSTIs,8,Alabama,1,00_04,74
Strep pharyngitis,8,Alabama,1,00_04,67
UTIs,8,Alabama,1,00_04,3
Viral pneumonia,8,Alabama,1,00_04,1
Acute sinusitis,9,Alabama,1,00_04,112
Bacterial pneumonia,9,Alabama,1,00_04,14
GI infections,9,Alabama,1,00_04,22
Influenza,9,Alabama,1,00_04,3
Other pharyngitis,9,Alabama,1,00_04,145
Other/None,9,Alabama,1,00_04,3177
Otitis media,9,Alabama,1,00_04,222
SSTIs,9,Alabama,1,00_04,38
Strep pharyngitis,9,Alabama,1,00_04,61
UTIs,9,Alabama,1,00_04,2
Acute sinusitis,10,Alabama,1,00_04,92
Bacterial pneumonia,10,Alabama,1,00_04,19
GI infections,10,Alabama,1,00_04,31
Influenza,10,Alabama,1,00_04,9
Other pharyngitis,10,Alabama,1,00_04,187
Other/None,10,Alabama,1,00_04,3873
Otitis media,10,Alabama,1,00_04,283
SSTIs,10,Alabama,1,00_04,40
Strep pharyngitis,10,Alabama,1,00_04,101
UTIs,10,Alabama,1,00_04,2
Viral pneumonia,10,Alabama,1,00_04,1
Acute sinusitis,11,Alabama,1,00_04,140
Bacterial pneumonia,11,Alabama,1,00_04,28
GI infections,11,Alabama,1,00_04,22
Influenza,11,Alabama,1,00_04,17
Other pharyngitis,11,Alabama,1,00_04,185
Other/None,11,Alabama,1,00_04,3497
Otitis media,11,Alabama,1,00_04,351
SSTIs,11,Alabama,1,00_04,31
Strep pharyngitis,11,Alabama,1,00_04,94
UTIs,11,Alabama,1,00_04,4
Viral pneumonia,11,Alabama,1,00_04,2
Acute sinusitis,12,Alabama,1,00_04,127
Bacterial pneumonia,12,Alabama,1,00_04,29
GI infections,12,Alabama,1,00_04,21
Influenza,12,Alabama,1,00_04,161
Other pharyngitis,12,Alabama,1,00_04,193
Other/None,12,Alabama,1,00_04,3074
Otitis media,12,Alabama,1,00_04,402
SSTIs,12,Alabama,1,00_04,22
Strep pharyngitis,12,Alabama,1,00_04,109
UTIs,12,Alabama,1,00_04,1
Viral pneumonia,12,Alabama,1,00_04,3
Acute sinusitis,1,Alabama,2,00_04,86
Bacterial pneumonia,1,Alabama,2,00_04,26
GI infections,1,Alabama,2,00_04,16
Influenza,1,Alabama,2,00_04,46
Other pharyngitis,1,Alabama,2,00_04,165
Other/None,1,Alabama,2,00_04,3472
Otitis media,1,Alabama,2,00_04,351
SSTIs,1,Alabama,2,00_04,28
Strep pharyngitis,1,Alabama,2,00_04,82
UTIs,1,Alabama,2,00_04,21
Viral pneumonia,1,Alabama,2,00_04,5
Acute sinusitis,2,Alabama,2,00_04,85
Bacterial pneumonia,2,Alabama,2,00_04,31
GI infections,2,Alabama,2,00_04,16
Influenza,2,Alabama,2,00_04,121
Other pharyngitis,2,Alabama,2,00_04,154
Other/None,2,Alabama,2,00_04,3121
Otitis media,2,Alabama,2,00_04,426
SSTIs,2,Alabama,2,00_04,24
Strep pharyngitis,2,Alabama,2,00_04,116
UTIs,2,Alabama,2,00_04,21
Acute sinusitis,3,Alabama,2,00_04,76
Bacterial pneumonia,3,Alabama,2,00_04,27
GI infections,3,Alabama,2,00_04,21
Influenza,3,Alabama,2,00_04,97
Other pharyngitis,3,Alabama,2,00_04,140
Other/None,3,Alabama,2,00_04,3168
Otitis media,3,Alabama,2,00_04,355
SSTIs,3,Alabama,2,00_04,28
Strep pharyngitis,3,Alabama,2,00_04,119
UTIs,3,Alabama,2,00_04,47
Viral pneumonia,3,Alabama,2,00_04,1
Acute sinusitis,4,Alabama,2,00_04,70
Bacterial pneumonia,4,Alabama,2,00_04,13
GI infections,4,Alabama,2,00_04,24
Influenza,4,Alabama,2,00_04,37
Other pharyngitis,4,Alabama,2,00_04,144
Other/None,4,Alabama,2,00_04,2714
Otitis media,4,Alabama,2,00_04,294
SSTIs,4,Alabama,2,00_04,25
Strep pharyngitis,4,Alabama,2,00_04,98
UTIs,4,Alabama,2,00_04,48
Acute sinusitis,5,Alabama,2,00_04,76
Bacterial pneumonia,5,Alabama,2,00_04,10
GI infections,5,Alabama,2,00_04,17
Influenza,5,Alabama,2,00_04,7
Other pharyngitis,5,Alabama,2,00_04,152
Other/None,5,Alabama,2,00_04,2914
Otitis media,5,Alabama,2,00_04,268
SSTIs,5,Alabama,2,00_04,27
Strep pharyngitis,5,Alabama,2,00_04,107
UTIs,5,Alabama,2,00_04,41
Acute sinusitis,6,Alabama,2,00_04,54
Bacterial pneumonia,6,Alabama,2,00_04,6
GI infections,6,Alabama,2,00_04,15
Influenza,6,Alabama,2,00_04,8
Other pharyngitis,6,Alabama,2,00_04,100
Other/None,6,Alabama,2,00_04,2605
Otitis media,6,Alabama,2,00_04,198
