COND2,MONTH,STATE,SEX,AGEGRP,NVISITS
Acute sinusitis,1,Alabama,1,00_04,30
Bacterial pneumonia,1,Alabama,1,00_04,14
GI infections,1,Alabama,1,00_04,5
Influenza,1,Alabama,1,00_04,9
Other pharyngitis,1,Alabama,1,00_04,88
Other/None,1,Alabama,1,00_04,4574
Otitis media,1,Alabama,1,00_04,153
SSTIs,1,Alabama,1,00_04,6
Strep pharyngitis,1,Alabama,1,00_04,20
UTIs,1,Alabama,1,00_04,3
Viral pneumonia,1,Alabama,1,00_04,1
Acute sinusitis,2,Alabama,1,00_04,37
Bacterial pneumonia,2,Alabama,1,00_04,9
GI infections,2,Alabama,1,00_04,7
Influenza,2,Alabama,1,00_04,27
Other pharyngitis,2,Alabama,1,00_04,86
Other/None,2,Alabama,1,00_04,4272
Otitis media,2,Alabama,1,00_04,128
SSTIs,2,Alabama,1,00_04,1
Strep pharyngitis,2,Alabama,1,00_04,23
Acute sinusitis,3,Alabama,1,00_04,46
Bacterial pneumonia,3,Alabama,1,00_04,8
GI infections,3,Alabama,1,00_04,5
Influenza,3,Alabama,1,00_04,23
Other pharyngitis,3,Alabama,1,00_04,98
Other/None,3,Alabama,1,00_04,4393
Otitis media,3,Alabama,1,00_04,156
SSTIs,3,Alabama,1,00_04,12
Strep pharyngitis,3,Alabama,1,00_04,20
UTIs,3,Alabama,1,00_04,1
Acute sinusitis,4,Alabama,1,00_04,29
Bacterial pneumonia,4,Alabama,1,00_04,2
GI infections,4,Alabama,1,00_04,10
Influenza,4,Alabama,1,00_04,13
Other pharyngitis,4,Alabama,1,00_04,73
Other/None,4,Alabama,1,00_04,3548
Otitis media,4,Alabama,1,00_04,100
SSTIs,4,Alabama,1,00_04,9
Strep pharyngitis,4,Alabama,1,00_04,15
UTIs,4,Alabama,1,00_04,2
Acute sinusitis,5,Alabama,1,00_04,37
Bacterial pneumonia,5,Alabama,1,00_04,5
GI infections,5,Alabama,1,00_04,5
Influenza,5,Alabama,1,00_04,1
Other pharyngitis,5,Alabama,1,00_04,81
Other/None,5,Alabama,1,00_04,3886
Otitis media,5,Alabama,1,00_04,115
SSTIs,5,Alabama,1,00_04,16
Strep pharyngitis,5,Alabama,1,00_04,16
UTIs,5,Alabama,1,00_04,2
Acute sinusitis,6,Alabama,1,00_04,20
Bacterial pneumonia,6,Alabama,1,00_04,3
GI infections,6,Alabama,1,00_04,10
Other pharyngitis,6,Alabama,1,00_04,47
Other/None,6,Alabama,1,00_04,3580
Otitis media,6,Alabama,1,00_04,80
SSTIs,6,Alabama,1,00_04,8
Strep pharyngitis,6,Alabama,1,00_04,11
UTIs,6,Alabama,1,00_04,1
Acute sinusitis,7,Alabama,1,00_04,12
Bacterial pneumonia,7,Alabama,1,00_04,4
GI infections,7,Alabama,1,00_04,6
Other pharyngitis,7,Alabama,1,00_04,52
Other/None,7,Alabama,1,00_04,3212
Otitis media,7,Alabama,1,00_04,65
SSTIs,7,Alabama,1,00_04,13
Strep pharyngitis,7,Alabama,1,00_04,7
UTIs,7,Alabama,1,00_04,1
Acute sinusitis,8,Alabama,1,00_04,35
Bacterial pneumonia,8,Alabama,1,00_04,1
GI infections,8,Alabama,1,00_04,4
Other pharyngitis,8,Alabama,1,00_04,70
Other/None,8,Alabama,1,00_04,3690
Otitis media,8,Alabama,1,00_04,92
SSTIs,8,Alabama,1,00_04,17
Strep pharyngitis,8,Alabama,1,00_04,4
Acute sinusitis,9,Alabama,1,00_04,33
Bacterial pneumonia,9,Alabama,1,00_04,4
GI infections,9,Alabama,1,00_04,4
Influenza,9,Alabama,1,00_04,4
Other pharyngitis,9,Alabama,1,00_04,66
Other/None,9,Alabama,1,00_04,3567
Otitis media,9,Alabama,1,00_04,96
SSTIs,9,Alabama,1,00_04,9
Strep pharyngitis,9,Alabama,1,00_04,12
UTIs,9,Alabama,1,00_04,1
Acute sinusitis,10,Alabama,1,00_04,38
Bacterial pneumonia,10,Alabama,1,00_04,7
GI infections,10,Alabama,1,00_04,8
Influenza,10,Alabama,1,00_04,4
Other pharyngitis,10,Alabama,1,00_04,93
Other/None,10,Alabama,1,00_04,4352
Otitis media,10,Alabama,1,00_04,111
SSTIs,10,Alabama,1,00_04,10
Strep pharyngitis,10,Alabama,1,00_04,14
UTIs,10,Alabama,1,00_04,1
Acute sinusitis,11,Alabama,1,00_04,36
Bacterial pneumonia,11,Alabama,1,00_04,8
GI infections,11,Alabama,1,00_04,7
Influenza,11,Alabama,1,00_04,1
Other pharyngitis,11,Alabama,1,00_04,96
Other/None,11,Alabama,1,00_04,4058
Otitis media,11,Alabama,1,00_04,128
SSTIs,11,Alabama,1,00_04,13
Strep pharyngitis,11,Alabama,1,00_04,23
Viral pneumonia,11,Alabama,1,00_04,1
Acute sinusitis,12,Alabama,1,00_04,57
Bacterial pneumonia,12,Alabama,1,00_04,2
GI infections,12,Alabama,1,00_04,3
Influenza,12,Alabama,1,00_04,25
Other pharyngitis,12,Alabama,1,00_04,105
Other/None,12,Alabama,1,00_04,3779
Otitis media,12,Alabama,1,00_04,147
SSTIs,12,Alabama,1,00_04,6
Strep pharyngitis,12,Alabama,1,00_04,16
UTIs,12,Alabama,1,00_04,1
Viral pneumonia,12,Alabama,1,00_04,1
Acute sinusitis,1,Alabama,2,00_04,29
Bacterial pneumonia,1,Alabama,2,00_04,5
GI infections,1,Alabama,2,00_04,4
Influenza,1,Alabama,2,00_04,8
Other pharyngitis,1,Alabama,2,00_04,65
Other/None,1,Alabama,2,00_04,4017
Otitis media,1,Alabama,2,00_04,137
SSTIs,1,Alabama,2,00_04,8
Strep pharyngitis,1,Alabama,2,00_04,16
UTIs,1,Alabama,2,00_04,8
Viral pneumonia,1,Alabama,2,00_04,1
Acute sinusitis,2,Alabama,2,00_04,32
Bacterial pneumonia,2,Alabama,2,00_04,6
GI infections,2,Alabama,2,00_04,4
Influenza,2,Alabama,2,00_04,30
Other pharyngitis,2,Alabama,2,00_04,96
Other/None,2,Alabama,2,00_04,3757
Otitis media,2,Alabama,2,00_04,142
SSTIs,2,Alabama,2,00_04,12
